Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
358,Devin Robinson\robinde01,SF,23,WAS,2,0,9.0,2.0,3.5,.571,0.0,0.0,,2.0,3.5,.571,.571,1.0,1.5,.667,1.0,2.0,3.0,0.5,1.0,0.5,0.0,1.0,5.0
359,Duncan Robinson\robindu01,PF,24,MIA,4,0,7.3,0.5,1.5,.333,0.5,1.5,.333,0.0,0.0,,.500,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.3,1.5
360,Glenn Robinson\robingl02,SF,25,DET,18,11,16.2,1.9,4.4,.443,0.6,1.7,.323,1.4,2.7,.521,.506,1.2,1.4,.846,0.1,1.3,1.4,0.4,0.3,0.3,0.5,1.1,5.7
361,Jerome Robinson\robinje01,SG,21,LAC,8,0,5.0,1.1,2.3,.500,0.6,1.1,.556,0.5,1.1,.444,.639,0.0,0.0,,0.0,0.4,0.4,0.1,0.0,0.0,0.1,0.8,2.9
362,Mitchell Robinson\robinmi01,C,20,NYK,21,12,17.3,2.0,3.2,.632,0.0,0.0,,2.0,3.2,.632,.632,0.7,1.1,.583,2.1,2.0,4.0,0.4,0.7,2.0,0.5,3.2,4.8
363,Rajon Rondo\rondora01,PG,32,LAL,11,2,25.3,3.6,8.0,.455,0.8,1.9,.429,2.8,6.1,.463,.506,0.4,0.7,.500,0.9,3.6,4.5,6.5,1.2,0.0,2.3,2.3,8.5
364,Derrick Rose\rosede01,PG,30,MIN,20,5,29.5,7.1,14.3,.498,1.8,3.7,.486,5.3,10.6,.502,.561,3.0,3.5,.855,0.8,2.6,3.3,4.4,0.5,0.3,1.8,1.2,19.0
365,Terrence Ross\rosste01,SG,27,ORL,23,0,25.2,5.3,11.8,.452,2.3,5.7,.405,3.0,6.1,.496,.550,1.3,1.5,.829,0.2,2.8,3.0,1.7,1.0,0.5,1.4,2.1,14.3
366,Terry Rozier\roziete01,PG,24,BOS,22,1,22.3,3.1,8.2,.376,1.3,3.5,.359,1.8,4.7,.388,.453,0.8,1.2,.692,0.3,3.5,3.8,2.1,0.6,0.2,0.7,1.6,8.3
367,Ricky Rubio\rubiori01,PG,28,UTA,23,23,29.6,4.0,10.8,.373,1.4,4.4,.317,2.7,6.4,.412,.438,2.8,3.4,.821,0.3,3.0,3.4,6.4,1.5,0.2,3.0,3.1,12.3
368,D'Angelo Russell\russeda01,PG,22,BRK,23,23,29.1,6.9,16.9,.407,2.5,6.8,.363,4.4,10.0,.437,.481,1.7,2.3,.755,0.5,3.4,3.9,5.7,1.3,0.3,2.7,1.7,18.0
369,Domantas Sabonis\sabondo01,C,22,IND,21,1,24.8,5.8,8.9,.652,0.2,0.3,.833,5.6,8.6,.646,.666,3.1,4.1,.756,2.4,7.8,10.2,3.2,0.6,0.6,2.3,3.1,15.0
370,Dario Saric\saricda01,PF,24,TOT,21,13,27.4,3.8,9.7,.387,1.5,4.9,.304,2.3,4.9,.471,.463,1.9,2.1,.909,1.8,4.6,6.4,1.6,0.5,0.2,1.7,2.8,10.9
370,Dario Saric\saricda01,PF,24,PHI,13,13,30.5,3.7,10.2,.364,1.6,5.4,.300,2.1,4.8,.435,.443,2.1,2.3,.900,1.6,5.0,6.6,2.0,0.3,0.2,1.9,3.0,11.1
370,Dario Saric\saricda01,PF,24,MIN,8,0,22.5,3.9,9.0,.431,1.3,4.0,.313,2.6,5.0,.525,.500,1.6,1.8,.929,2.0,4.0,6.0,1.0,0.8,0.1,1.3,2.5,10.6
371,Tomas Satoransky\satorto01,SG,27,WAS,22,0,14.9,1.7,3.7,.457,0.3,0.9,.350,1.4,2.8,.492,.500,1.3,1.4,.933,0.5,1.2,1.8,2.6,0.7,0.2,0.7,1.5,5.0
372,Dennis Schroder\schrode01,PG,25,OKC,21,9,29.7,6.2,15.0,.417,1.5,4.2,.348,4.8,10.7,.444,.467,2.9,3.3,.857,0.6,3.6,4.2,5.1,1.2,0.2,2.9,2.7,16.8
373,Mike Scott\scottmi01,PF,30,LAC,21,0,15.2,2.0,4.3,.451,1.2,2.8,.431,0.8,1.6,.485,.588,0.1,0.1,1.000,0.3,3.0,3.3,1.0,0.4,0.2,0.6,1.7,5.2
374,Thabo Sefolosha\sefolth01,SF,34,UTA,9,0,8.9,0.3,1.2,.273,0.1,0.8,.143,0.2,0.4,.500,.318,0.6,0.7,.833,0.2,2.2,2.4,0.4,0.4,0.1,0.7,0.9,1.3
375,Wayne Selden\seldewa01,SG,24,MEM,20,0,16.2,2.2,5.4,.411,0.8,2.2,.341,1.5,3.2,.460,.481,0.7,0.8,.867,0.4,0.9,1.3,1.3,0.4,0.2,0.9,1.6,5.8
376,Collin Sexton\sextoco01,PG,20,CLE,21,11,28.9,5.8,13.0,.443,0.7,1.6,.412,5.1,11.4,.448,.469,2.5,2.8,.898,0.7,2.7,3.4,2.6,0.4,0.1,2.2,2.4,14.7
377,Landry Shamet\shamela01,SG,21,PHI,24,2,21.5,2.8,6.3,.441,1.8,4.6,.396,1.0,1.7,.561,.586,0.8,0.9,.864,0.2,1.3,1.4,1.1,0.5,0.1,0.5,1.9,8.2
378,Iman Shumpert\shumpim01,SG,28,SAC,18,16,25.3,3.3,7.7,.435,1.9,4.9,.393,1.4,2.7,.510,.562,1.0,1.1,.900,0.3,2.9,3.2,1.6,1.2,0.3,0.6,2.7,9.6
379,Pascal Siakam\siakapa01,PF,24,TOR,23,22,29.7,5.8,9.1,.638,0.7,1.8,.366,5.2,7.3,.704,.674,2.5,3.2,.784,1.3,5.2,6.5,2.3,1.1,0.7,1.4,3.1,14.8
380,Ben Simmons\simmobe01,PG,22,PHI,23,23,32.8,6.1,11.0,.553,0.0,0.0,,6.1,11.0,.553,.553,3.2,5.2,.613,1.9,6.7,8.7,8.0,1.3,0.8,3.4,2.7,15.3
381,Jonathon Simmons\simmojo02,SG,29,ORL,21,3,21.6,2.5,7.6,.333,0.5,2.2,.217,2.0,5.4,.381,.365,1.9,2.3,.833,0.5,2.0,2.5,2.3,0.5,0.5,1.3,1.8,7.4
382,Anfernee Simons\simonan01,SG,19,POR,5,0,6.8,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.2,0.8,.250,0.0,1.0,1.0,0.2,0.0,0.0,0.6,0.2,2.2
383,Marcus Smart\smartma01,SG,24,BOS,22,2,24.2,2.1,5.4,.395,1.0,3.2,.324,1.1,2.2,.500,.492,1.4,1.8,.769,0.7,2.0,2.7,4.0,1.4,0.5,1.5,2.6,6.7
384,Dennis Smith\smithde03,PG,21,DAL,18,18,28.1,5.3,12.0,.440,1.4,3.9,.371,3.8,8.1,.473,.500,1.8,2.8,.660,0.6,2.2,2.8,3.9,1.2,0.4,3.2,2.8,13.8
385,Ish Smith\smithis01,PG,30,DET,19,0,25.3,4.2,9.8,.425,1.2,3.7,.324,2.9,6.1,.487,.487,0.4,0.5,.700,0.1,2.0,2.1,3.3,0.5,0.3,1.1,2.6,9.9
386,J.R. Smith\smithjr01,SG,33,CLE,11,4,20.2,2.5,7.2,.342,1.1,3.5,.308,1.4,3.6,.375,.418,0.7,0.9,.800,0.0,1.6,1.6,1.9,1.0,0.3,1.0,1.7,6.7
387,Jason Smith\smithja02,C,32,WAS,11,1,11.2,1.4,3.2,.429,0.4,0.8,.444,1.0,2.4,.423,.486,0.8,0.9,.900,1.0,2.2,3.2,0.9,0.1,0.5,0.6,1.7,3.9
388,Tony Snell\snellto01,SG,27,MIL,21,0,15.8,2.1,4.6,.469,1.1,2.7,.404,1.0,1.9,.564,.589,0.5,0.6,.833,0.2,1.4,1.6,0.8,0.3,0.2,0.3,1.1,5.9
389,Ray Spalding\spaldra01,PF,21,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Omari Spellman\spellom01,PF,21,ATL,21,8,18.7,2.3,6.0,.389,0.9,2.8,.322,1.4,3.2,.448,.464,1.0,1.3,.750,2.0,2.7,4.7,1.0,0.8,0.6,0.7,1.6,6.6
391,Nik Stauskas\stausni01,SG,25,POR,22,0,16.8,2.5,5.8,.430,1.3,3.3,.403,1.2,2.5,.464,.543,0.9,1.0,.952,0.3,1.5,1.8,1.7,0.3,0.1,1.0,0.9,7.2
392,Lance Stephenson\stephla01,SG,28,LAL,22,0,15.2,3.0,7.0,.429,1.0,2.7,.373,2.0,4.3,.463,.500,0.7,0.8,.833,0.6,2.8,3.4,1.8,0.7,0.1,1.2,1.5,7.7
393,Edmond Sumner\sumneed01,PG,23,IND,6,0,4.0,0.3,0.8,.400,0.2,0.3,.500,0.2,0.5,.333,.500,0.0,0.3,.000,0.2,0.0,0.2,0.2,0.2,0.0,0.3,0.7,0.8
394,Caleb Swanigan\swanica01,PF,21,POR,10,0,9.9,1.0,3.3,.303,0.1,0.4,.250,0.9,2.9,.310,.318,0.4,0.5,.800,1.1,2.9,4.0,0.5,0.4,0.0,1.0,1.5,2.5
395,Jayson Tatum\tatumja01,SF,20,BOS,22,22,31.4,5.8,13.1,.444,1.7,4.3,.404,4.1,8.8,.464,.510,2.9,3.4,.840,1.4,5.1,6.5,1.9,1.0,0.5,1.5,2.4,16.2
396,Jeff Teague\teaguje01,PG,30,MIN,16,16,31.1,4.2,10.3,.409,0.9,3.0,.292,3.3,7.3,.457,.451,3.4,3.9,.871,0.2,2.1,2.3,7.6,1.3,0.4,2.2,2.1,12.6
397,Garrett Temple\templga01,SG,32,MEM,21,21,33.0,3.8,8.4,.455,1.6,4.1,.391,2.2,4.2,.517,.551,1.8,2.1,.844,0.4,3.0,3.3,1.4,1.2,0.3,1.2,3.2,11.0
398,Milos Teodosic\teodomi01,PG,31,LAC,10,0,9.5,1.0,1.9,.526,0.6,1.4,.429,0.4,0.5,.800,.684,0.3,0.4,.750,0.2,1.2,1.4,2.2,0.2,0.1,1.0,1.8,2.9
399,Jared Terrell\terreja01,SG,23,MIN,1,0,21.0,1.0,8.0,.125,1.0,2.0,.500,0.0,6.0,.000,.188,1.0,2.0,.500,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0
400,Daniel Theis\theisda01,C,26,BOS,12,0,11.8,2.2,3.7,.591,0.3,0.8,.444,1.8,2.9,.629,.636,0.3,0.6,.429,1.1,1.8,2.8,0.8,0.1,0.4,0.8,2.8,4.9
401,Khyri Thomas\thomakh01,SG,22,DET,3,0,4.3,0.7,1.7,.400,0.3,1.0,.333,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,1.7
402,Lance Thomas\thomala01,PF,30,NYK,11,5,15.2,1.3,3.7,.341,0.5,1.5,.294,0.8,2.2,.375,.402,0.9,1.0,.909,0.4,1.8,2.2,0.5,0.6,0.3,0.5,2.0,3.9
403,Klay Thompson\thompkl01,SG,28,GSW,23,23,34.7,9.1,19.9,.456,2.8,8.1,.348,6.3,11.8,.531,.527,1.9,2.4,.782,0.4,3.3,3.7,1.8,0.9,0.7,2.0,2.2,22.9
404,Tristan Thompson\thomptr01,C,27,CLE,21,21,29.8,4.9,9.2,.526,0.0,0.0,,4.9,9.2,.526,.526,1.4,2.3,.592,5.0,6.0,11.0,2.0,1.0,0.3,1.7,2.1,11.1
405,Sindarius Thornwell\thornsi01,SG,24,LAC,8,0,8.0,0.4,0.9,.429,0.0,0.3,.000,0.4,0.6,.600,.429,0.5,0.5,1.000,0.0,1.4,1.4,0.6,0.1,0.1,0.6,1.9,1.3
406,Anthony Tolliver\tollian01,PF,33,MIN,16,0,17.1,1.6,3.8,.433,1.4,3.4,.407,0.3,0.4,.667,.617,0.4,0.8,.583,0.4,2.1,2.5,0.8,0.4,0.5,0.6,1.8,5.1
407,Karl-Anthony Towns\townska01,C,23,MIN,22,22,33.5,7.4,15.1,.491,1.8,4.5,.400,5.6,10.5,.530,.551,4.0,4.5,.888,3.3,8.9,12.1,2.3,0.8,1.6,3.5,3.6,20.6
408,Gary Trent\trentga02,SG,20,POR,2,0,6.5,2.0,4.5,.444,1.0,1.5,.667,1.0,3.0,.333,.556,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,5.0
409,Allonzo Trier\trieral01,SG,23,NYK,23,3,23.9,4.0,8.3,.487,0.8,1.7,.450,3.3,6.6,.497,.534,3.0,3.6,.819,0.7,2.5,3.2,1.8,0.5,0.4,1.9,1.7,11.8
410,P.J. Tucker\tuckepj01,PF,33,HOU,21,21,35.5,2.8,6.4,.440,2.0,4.7,.424,0.8,1.7,.486,.597,0.5,0.7,.714,1.2,4.9,6.1,1.1,1.3,0.4,1.0,3.1,8.1
411,Evan Turner\turneev01,PG,30,POR,22,0,26.1,3.5,7.6,.464,0.2,1.2,.154,3.4,6.5,.521,.476,1.0,1.6,.583,0.5,4.6,5.1,4.3,0.8,0.3,2.0,2.3,8.2
412,Myles Turner\turnemy01,C,22,IND,21,21,27.0,4.5,9.4,.480,0.3,1.5,.226,4.2,8.0,.527,.497,1.8,2.4,.745,1.2,4.5,5.7,1.5,0.4,2.6,1.7,2.8,11.2
413,Ekpe Udoh\udohek01,C,31,UTA,15,0,4.9,0.4,0.5,.857,0.0,0.0,,0.4,0.5,.857,.857,0.3,0.4,.667,0.1,0.7,0.9,0.3,0.1,0.5,0.3,0.7,1.1
414,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Jonas Valanciunas\valanjo01,C,26,TOR,23,9,19.3,4.9,8.5,.577,0.3,1.0,.333,4.6,7.5,.610,.597,2.6,3.1,.831,1.9,5.5,7.3,1.2,0.5,0.9,1.5,2.7,12.7
416,Fred VanVleet\vanvlfr01,PG,24,TOR,19,2,23.7,3.5,8.3,.420,1.3,3.9,.338,2.2,4.4,.494,.500,1.1,1.5,.714,0.5,1.8,2.3,4.4,0.8,0.2,1.4,1.7,9.3
417,Noah Vonleh\vonleno01,PF,23,NYK,23,16,24.6,2.7,5.7,.477,0.7,1.7,.410,2.0,4.0,.505,.538,1.9,2.5,.741,2.0,6.3,8.3,1.7,0.7,1.0,1.1,2.8,8.0
418,Nikola Vucevic\vucevni01,C,28,ORL,23,23,30.8,8.6,15.6,.553,1.2,2.9,.409,7.4,12.7,.586,.591,2.6,3.0,.843,2.6,8.7,11.3,3.8,1.0,1.1,2.1,2.2,21.0
419,Dwyane Wade\wadedw01,SG,37,MIA,14,0,25.5,5.8,12.5,.463,1.6,4.0,.393,4.2,8.5,.496,.526,2.2,3.4,.646,1.3,2.5,3.8,3.2,0.4,0.6,2.4,2.0,15.4
420,Moritz Wagner\wagnemo01,C,21,LAL,3,0,2.3,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0
421,Kemba Walker\walkeke02,PG,28,CHO,22,22,35.1,9.1,20.5,.447,3.5,9.4,.372,5.6,11.0,.510,.532,5.4,6.5,.825,0.4,4.0,4.4,6.2,1.3,0.4,2.6,1.7,27.1
422,John Wall\walljo01,PG,28,WAS,22,22,34.4,7.6,17.2,.444,1.6,5.0,.318,6.0,12.2,.496,.491,4.1,6.1,.679,0.6,3.0,3.5,8.1,1.8,1.1,3.5,2.5,21.0
423,Tyrone Wallace\wallaty01,PG,24,LAC,13,0,6.4,1.2,2.6,.441,0.0,0.3,.000,1.2,2.3,.500,.441,0.5,0.9,.500,0.1,0.7,0.8,0.2,0.2,0.0,0.2,0.8,2.8
424,Taurean Waller-Prince\princta02,SF,24,ATL,20,19,28.8,5.3,12.3,.429,2.4,6.7,.361,2.9,5.6,.509,.527,2.2,2.7,.830,0.3,3.8,4.1,2.3,1.2,0.4,2.6,3.0,15.1
425,Brad Wanamaker\wanambr01,PG,29,BOS,6,0,6.7,1.0,2.3,.429,0.3,0.7,.500,0.7,1.7,.400,.500,0.8,1.0,.833,0.0,0.7,0.7,1.3,0.2,0.0,0.7,0.2,3.2
426,T.J. Warren\warretj01,SF,25,PHO,20,13,29.9,6.9,13.4,.511,1.8,4.0,.450,5.1,9.4,.537,.578,2.2,2.6,.846,0.7,3.4,4.1,1.3,1.0,0.8,1.1,2.6,17.7
427,Yuta Watanabe\watanyu01,SG,24,MEM,2,0,6.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,2.0,2.0,0.0,0.0,0.5,0.5,0.0,1.0
428,Thomas Welsh\welshth01,C,22,DEN,4,0,3.0,0.5,0.8,.667,0.3,0.5,.500,0.3,0.3,1.000,.833,0.0,0.0,,0.0,0.8,0.8,0.5,0.0,0.0,0.3,0.3,1.3
429,Russell Westbrook\westbru01,PG,30,OKC,13,13,33.2,9.1,19.2,.472,1.0,4.6,.217,8.1,14.6,.553,.498,4.0,6.3,.634,1.1,9.0,10.1,9.8,2.0,0.2,4.1,3.5,23.2
430,Derrick White\whitede01,PG,24,SAS,13,6,19.4,2.2,5.6,.384,0.5,1.6,.286,1.7,4.0,.423,.425,0.8,1.1,.786,0.2,2.3,2.5,3.2,0.6,0.0,1.3,1.3,5.6
431,Okaro White\whiteok01,PF,26,WAS,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
432,Hassan Whiteside\whiteha01,C,29,MIA,20,20,26.6,5.3,10.6,.502,0.1,0.6,.167,5.2,10.0,.523,.507,2.5,4.9,.500,4.1,9.5,13.6,0.8,0.6,2.9,1.8,3.2,13.2
433,Andrew Wiggins\wiggian01,SF,23,MIN,18,18,32.7,5.7,15.4,.368,1.8,5.2,.351,3.8,10.2,.377,.428,1.8,2.3,.762,0.7,3.0,3.7,2.3,1.5,0.6,1.6,2.2,14.9
434,C.J. Williams\willicj01,SG,28,MIN,6,0,8.8,0.8,2.3,.357,0.0,1.0,.000,0.8,1.3,.625,.357,0.0,0.0,,0.0,0.3,0.3,0.5,0.2,0.0,0.5,1.7,1.7
435,Johnathan Williams\willijo04,C,23,LAL,6,0,14.2,1.8,3.2,.579,0.0,0.0,,1.8,3.2,.579,.579,0.2,0.8,.200,1.8,1.7,3.5,0.7,0.2,0.5,0.3,3.2,3.8
436,Kenrich Williams\willike04,SF,24,NOP,6,0,4.8,0.3,1.0,.333,0.2,0.3,.500,0.2,0.7,.250,.417,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.2,1.2,0.8
437,Lou Williams\willilo02,SG,32,LAC,21,0,25.7,5.6,14.6,.386,1.2,3.8,.329,4.4,10.8,.405,.428,5.1,5.4,.939,0.6,2.0,2.6,4.2,0.7,0.1,2.3,0.9,17.6
438,Marvin Williams\willima02,PF,32,CHO,22,22,25.5,3.2,7.5,.422,1.5,4.6,.337,1.6,3.0,.554,.524,0.6,1.0,.591,0.8,4.5,5.3,0.9,0.8,0.8,0.6,1.9,8.5
439,Robert Williams\williro04,C,21,BOS,8,0,4.1,0.8,1.0,.750,0.0,0.0,,0.8,1.0,.750,.750,0.1,0.3,.500,0.5,0.9,1.4,0.1,0.0,0.8,0.0,0.9,1.6
440,Troy Williams\willitr02,SF,24,SAC,11,0,15.6,2.5,5.1,.482,0.9,2.5,.370,1.5,2.6,.586,.571,0.6,0.8,.778,0.3,2.3,2.5,0.5,0.4,0.4,0.4,2.0,6.5
441,Justise Winslow\winslju01,PF,22,MIA,17,9,27.2,3.2,9.2,.353,0.9,2.8,.319,2.4,6.4,.367,.401,1.8,2.5,.698,1.1,4.0,5.1,3.4,0.9,0.3,2.1,2.5,9.1
442,Christian Wood\woodch01,PF,23,MIL,5,0,5.8,1.4,2.8,.500,0.4,0.8,.500,1.0,2.0,.500,.571,0.6,0.8,.750,0.6,1.8,2.4,0.4,0.0,0.0,0.4,0.4,3.8
443,Delon Wright\wrighde01,PG,26,TOR,18,0,16.1,2.3,5.0,.456,0.8,1.8,.455,1.4,3.2,.456,.539,0.8,0.8,1.000,0.7,1.3,2.0,1.5,0.5,0.3,0.8,1.0,6.2
444,Guerschon Yabusele\yabusgu01,PF,23,BOS,12,0,4.8,0.6,1.9,.304,0.2,0.8,.222,0.4,1.2,.357,.348,0.6,0.7,.875,0.4,0.8,1.2,0.3,0.2,0.1,0.1,0.8,1.9
445,Thaddeus Young\youngth01,PF,30,IND,22,22,28.1,4.5,9.3,.485,0.2,1.1,.167,4.3,8.2,.528,.495,0.7,1.5,.485,1.9,3.3,5.2,1.2,1.5,0.4,1.1,2.2,9.9
446,Trae Young\youngtr01,PG,20,ATL,23,23,29.2,5.5,14.6,.378,1.4,5.8,.248,4.1,8.8,.463,.427,3.1,3.8,.816,0.5,2.5,3.0,7.6,0.7,0.3,3.8,1.3,15.6
447,Cody Zeller\zelleco01,C,26,CHO,22,22,23.5,3.7,6.4,.582,0.1,0.3,.286,3.6,6.1,.597,.589,1.8,2.1,.848,1.9,3.5,5.4,2.0,0.6,0.7,1.2,3.1,9.3
448,Ante Zizic\zizican01,C,22,CLE,17,0,9.2,1.3,2.6,.500,0.0,0.0,,1.3,2.6,.500,.500,0.9,1.4,.625,1.1,1.8,2.9,0.4,0.1,0.1,1.0,1.2,3.5
449,Ivica Zubac\zubaciv01,C,21,LAL,6,0,7.8,0.8,2.3,.357,0.0,0.0,,0.8,2.3,.357,.357,0.7,0.7,1.000,1.7,1.8,3.5,0.3,0.2,0.3,0.7,2.0,2.3